"Bohley Peter";"Tolkemitt Georg";;"Wirtschaftswissenschaft als Grundlage staatlichen Handelns";;;;3.16.341642.X;574;Druckerzeugnis;"Festschrift zum 65. Geburtstag von Heinz Haller";Haupt-Bibliothek;"AA 277";Tübingen;"J.C.B. Mohr";1979;YB;;;Wirtschaftswissenschaften;"Allgemeines. Methoden der W. Unterrichts- und Ausbildungsmethoden in den W., Wirtschaftspädagogik";;"hsg duplicate";0996397;0133682;;
"Breton Albert";"Scott Anthony";;"The economic constitution of federal states";;;;0.8020.5410.2;156;Druckerzeugnis;;Haupt-Bibliothek;"AK 0424";London;"University of Toronto";1978;YB;;;Wirtschaftswissenschaften;"Allgemeines. Methoden der W. Unterrichts- und Ausbildungsmethoden in den W., Wirtschaftspädagogik";;"hsg duplicate";0996400;0200343;;
"Martin Paul C.";;;"Wann kommt der Staatsbankrott?";;;;3.7844.7119.6;289;Druckerzeugnis;;Haupt-Bibliothek;"DA 148";Herbig;"Wirtschaftsverlag Langen-Müller";1983;YL2;YL7;;Wirtschaftswissenschaften;"Finanzwissenschaft. Betriebswirtschaftliche Steuerlehre";"Haushaltsaufstellung, -verwaltung und -kontrolle-	Finanzpolitik. Fiscal Policy. Finanzwirtschaft und Finanzpolitik einzelner Länder";"hsg duplicate";0996405;0204683;;
"Schwarz Gunther";;;"Unternehmungskultur als Element des Strategischen Managements";;;;3.428.06754.1;276;Druckerzeugnis;"Betriebswirtschaftliche Forschungsergebnisse, Bd. 92";Haupt-Bibliothek;"WA 312";Berlin;"Duncker & Humblot";1989;YP;;;Wirtschaftswissenschaften;"Allgemeine Betriebswirtschaftslehre";;"hsg duplicate";0996408;0026656;;
"Japp Klaus Peter";;;"Theorie des öffentlichen Sektors";;;;3.593.32305.2;258;Druckerzeugnis;"Zur Verbindung ökonomischer und soziologischer Ansätze";Haupt-Bibliothek;"AC 205";Frankfurt;Campus;1978;YL1;;;Wirtschaftswissenschaften;"Finanzwissenschaft. Betriebswirtschaftliche Steuerlehre";Allgemeines;"hsg duplicate";0996409;0332190;;
"Pümpin Cuno";;;"Dynamische Unternehmensführung und strategisches Controlling";;;;-;25-51;Druckerzeugnis;"In: Horvath-Péter: Synergien durch Schnittstellen-Controlling";Haupt-Bibliothek;;;;;YL2;;;Wirtschaftswissenschaften;"Finanzwissenschaft. Betriebswirtschaftliche Steuerlehre";"Haushaltsaufstellung, -verwaltung und -kontrolle";"hsg duplicate";0996410;0055585;;
"Solow Robert M.";;;Wachstumstheorie;;;;;119;Druckerzeugnis;"Darstellung und Anwendung";Haupt-Bibliothek;"AG 214";Göttingen;"Vandenhoeck & Ruprecht";1971;YN;;;Wirtschaftswissenschaften;"Konjunkturschwankungen, Stabilitätspolitik";;"hsg duplicate";0996411;0254864;;
"Peacock Alan T.";"Wiseman Jack";;"The Growth of Public Expenditure in the United Kingdom";;;;;209;Druckerzeugnis;"A study by the National Bureau of Economic Research";Haupt-Bibliothek;"BF 106";Princeton;"Princeton University";1961;YL7;;;Wirtschaftswissenschaften;"Finanzwissenschaft. Betriebswirtschaftliche Steuerlehre";"Finanzpolitik. Fiscal Policy. Finanzwirtschaft und Finanzpolitik einzelner Länder";"hsg duplicate";0996414;0358365;;
"Weber Karl";"Niederberger J. Martin";;"Von der Nachwuchs- zur Mittelbaupolitik";;;;;158;Druckerzeugnis;"Explorative Studie";Haupt-Bibliothek;"AK 0447";Bern;"Schweizerischer Wissenschaftsrat";1984;YB;;;Wirtschaftswissenschaften;"Allgemeines. Methoden der W. Unterrichts- und Ausbildungsmethoden in den W., Wirtschaftspädagogik";;"hsg duplicate";0996422;0352594;;
"Stolper Hans-Dieter";;;"Zur Leistungsfähigkeit der konsumtheoretischen Analyse der Nachfrage nach öffentlichen Gütern";;;;3.428.05140.8;166;Druckerzeugnis;;Haupt-Bibliothek;"AC 256";Berlin;"Duncker & Humblot";1982;YL1;;;Wirtschaftswissenschaften;"Finanzwissenschaft. Betriebswirtschaftliche Steuerlehre";Allgemeines;"hsg duplicate";0996424;0200974;;
"Bardach Eugene";;;"The Implementation Game";"What Happens after a Bill becomes a Law";;;0.262.02125.0;"284 + 31 Anhang";Druckerzeugnis;;Haupt-Bibliothek;"AK 1027";London;"M.I.T. Press";1977;YC;;;Wirtschaftswissenschaften;"Wirtschaftstheorie, einschliesslich Geldtheorie";;"hsg duplicate";0996428;0107365;;
"Biedenkopf Kurt H.";"Miegel Meinhard";;"Wege aus der Arbeitslosigkeit";;;;3.87959.083.4;87;Druckerzeugnis;"Arbeitsmarktpolitik in der sozialen Marktwirtschaft";Haupt-Bibliothek;"AG 288";Stuttgart;"Bonn Aktuell GmbH";1978;YN;;;Wirtschaftswissenschaften;"Konjunkturschwankungen, Stabilitätspolitik";;"hsg duplicate";0996431;0200020;;
"Atkinson A. B.";;;"The Personal Distribution of Incomes";;;;0.04.332064.3;348;Druckerzeugnis;;Haupt-Bibliothek;"AH 164";London;"George Allen & Unwin";1976;YV;;;Wirtschaftswissenschaften;"Arbeitnehmerfragen (Labor Economics)";;"hsg duplicate";0996433;0347871;;
"Jochimsen Reimut";;;"Theorie der Infrastruktur";;;;;223;Druckerzeugnis;"Grundlagen der marktwirtschaftlichen Entwicklung";Haupt-Bibliothek;"AJ 122";Tübingen;"J.C.B. Mohr";1966;YY;;;Wirtschaftswissenschaften;"Regionale Wirtschaftspolitik. Stadtplanung";;"hsg duplicate";0996434;0197499;;
"Marx Detlef";;;"Wachstumsorientierte Regionalpolitik";;;;;138;Druckerzeugnis;;Haupt-Bibliothek;"AJ 110";Göttingen;"Vandenhoeck & Ruprecht";1966;YY;;;Wirtschaftswissenschaften;"Regionale Wirtschaftspolitik. Stadtplanung";;"hsg duplicate";0996436;0315175;;
"Stoker Gerry";;;"The Politics of Local Government";;;;"0.333.44269.5 hardcover 0.333.44270.9 pbk";267;Druckerzeugnis;;Haupt-Bibliothek;"WD 215";Basingstoke;Macmillan;1988;WD;;;"Uebrige Literatur";"Diverse Gebiete, Umweltschutz";;"hsg duplicate";0996437;0035970;;
OECD;;;"System of National Accounts 1993";;;;92-1-161352-3;711;Druckerzeugnis;;Haupt-Bibliothek;"AH 199";Brüssel;"OECD/EC/IMF/UN/World Bank";1993;YV;;;Wirtschaftswissenschaften;"Arbeitnehmerfragen (Labor Economics)";;"hsg duplicate";0996440;0086849;;
"Wildasin David E.";;;"Urban Public Finance";;;;3.7186.0334.9;152;Druckerzeugnis;;Haupt-Bibliothek;"AJ 335";Chur;Harwood;1986;YY;;;Wirtschaftswissenschaften;"Regionale Wirtschaftspolitik. Stadtplanung";;"hsg duplicate";0996443;0204780;;
"Bürgisser-Peters Petra";;;"Verteilungswirkungen der staatlichen Altersvorsorge in der Schweiz";;;;3.7255.2083.6;312;Druckerzeugnis;;Haupt-Bibliothek;"AF 194";Zürich;Schulthess;1982;YX;;;Wirtschaftswissenschaften;"Sozialpolitik. Gesundheitswesen. Bildungsökonomie";;"hsg duplicate";0996445;0341537;;
"Streit Manfred E.";;;"Theorie der Wirtschaftspolitik";;;;3.8041.3124.7;291;Druckerzeugnis;;Haupt-Bibliothek;"AA 278";Düsseldorf;Werner;1979;YB;;;Wirtschaftswissenschaften;"Allgemeines. Methoden der W. Unterrichts- und Ausbildungsmethoden in den W., Wirtschaftspädagogik";;"hsg duplicate";0996450;0200301;;
"Tullock Gordon";;;"The Politics of Bureaucracy";;;;65-14383;224;Druckerzeugnis;;Haupt-Bibliothek;"EA 112";Washington;"Public Affairs Press";1965;YQ;;;Wirtschaftswissenschaften;"Spezielle Betriebswirtschaftslehren";;"hsg duplicate";0996452;0777170;;
"Weber-Fas Rudolf";;;"Verfassungsrechtsprechung zum Steuerrecht";"Die Entscheidungen des Bundesverfassungsgerichts der Bundesrepublik Deutschland";"Bd. III";;"3 415 00458 9";449;Druckerzeugnis;;Haupt-Bibliothek;"JD 111 4";Stuttgart;"Richard Boorberg";1976;JD;;;"Allgemeine Steuerrechtsliteratur";"Grundsätze der Rechtsanwendung";;"hsg duplicate";0996454;0126116;"Bd. III";
